item,status,image,question,question_content,image_subject,answer1,answer2
14,filler,kracok.png,ภาพด้านล่างนี้คือภาพ กระจก ใช่หรือไม่,กระจก,กระจก,ใช่,ไม่ใช่
15,filler,kay.png,ภาพด้านล่างนี้คือภาพ ไก่ ใช่หรือไม่,ไก่,ไก่,ใช่,ไม่ใช่
16,filler,lookpoong.png,ภาพด้านล่างนี้คือภาพ ลูกโป่ง ใช่หรือไม่,ลูกโป่ง,ลูกโป่ง,ใช่,ไม่ใช่
17,filler,khaangkhok.png,ภาพด้านล่างนี้คือภาพ คางคก ใช่หรือไม่,คางคก,คางคก,ใช่,ไม่ใช่
18,filler,winyaan.png,ภาพด้านล่างนี้คือภาพ วิญญาณ ใช่หรือไม่,วิญญาณ,วิญญาณ,ใช่,ไม่ใช่
19,filler,khanitsaat.png,ภาพด้านล่างนี้คือภาพ คณิตศาสตร์ ใช่หรือไม่,คณิตศาสตร์,คณิตศาสตร์,ใช่,ไม่ใช่
20,filler,khay.png,ภาพด้านล่างนี้คือภาพ ไข่ ใช่หรือไม่,ไข่,ไข่,ใช่,ไม่ใช่
21,filler,khing.png,ภาพด้านล่างนี้คือภาพ ขิง ใช่หรือไม่,ขิง,ขิง,ใช่,ไม่ใช่
22,filler,fay.png,ภาพด้านล่างนี้คือภาพ ไฟ ใช่หรือไม่,ไฟ,ไฟ,ใช่,ไม่ใช่
23,filler,mot.png,ภาพด้านล่างนี้คือภาพ บ้าน ใช่หรือไม่,บ้าน,มด,ใช่,ไม่ใช่
24,filler,kradum.png,ภาพด้านล่างนี้คือภาพ ดาว ใช่หรือไม่,ดาว,กระดุม,ใช่,ไม่ใช่
25,filler,daay.png,ภาพด้านล่างนี้คือภาพ เค้ก ใช่หรือไม่,เค้ก,ด้าย,ใช่,ไม่ใช่
26,filler,khrungkhian.png,ภาพด้านล่างนี้คือภาพ เงา ใช่หรือไม่,เงา,เครื่องเขียน,ใช่,ไม่ใช่
27,filler,maa.png,ภาพด้านล่างนี้คือภาพ ลูกอม ใช่หรือไม่,ลูกอม,ม้า,ใช่,ไม่ใช่
28,filler,toffy.png,ภาพด้านล่างนี้คือภาพ เครื่องเขียน ใช่หรือไม่,เครื่องเขียน,ลูกอม,ใช่,ไม่ใช่
29,filler,daaw.png,ภาพด้านล่างนี้คือภาพ โทรทัศน์ ใช่หรือไม่,โทรทัศน์,ดาว,ใช่,ไม่ใช่
30,filler,fakthong.png,ภาพด้านล่างนี้คือภาพ สิงโต ใช่หรือไม่,สิงโต,ฟักทอง,ใช่,ไม่ใช่
31,filler,phiisue.png,ภาพด้านล่างนี้คือภาพ หงส์ ใช่หรือไม่,หงส์,ผีเสื้อ,ใช่,ไม่ใช่
32,filler,hong.png,ภาพด้านล่างนี้คือภาพ ห่าน ใช่หรือไม่,ห่าน,หงส์,ใช่,ไม่ใช่
33,filler,muak.png,ภาพด้านล่างนี้คือภาพ ช้าง ใช่หรือไม่,ช้าง,หมวก,ใช่,ไม่ใช่
34,filler,rom.png,ภาพด้านล่างนี้คือภาพ หมวก ใช่หรือไม่,หมวก,ร่ม,ใช่,ไม่ใช่
35,filler,haan.png,ภาพด้านล่างนี้คือภาพ กวาง ใช่หรือไม่,กวาง,ห่าน,ใช่,ไม่ใช่
36,filler,singtoo.png,ภาพด้านล่างนี้คือภาพ กุ้ง ใช่หรือไม่,กุ้ง,สิงโต,ใช่,ไม่ใช่
37,filler,thoorathat.png,ภาพด้านล่างนี้คือภาพ ฟักทอง ใช่หรือไม่,ฟักทอง,โทรทัศน์,ใช่,ไม่ใช่
38,filler,kung.png,ภาพด้านล่างนี้คือภาพ ด้าย ใช่หรือไม่,ด้าย,กุ้ง,ใช่,ไม่ใช่
39,filler,phrik.png,ภาพด้านล่างนี้คือภาพ กระดุม ใช่หรือไม่,กระดุม,พริก,ใช่,ไม่ใช่
40,filler,chang.png,ภาพด้านล่างนี้คือภาพ มด ใช่หรือไม่,มด,ช้าง,ใช่,ไม่ใช่
41,filler,ngaw.png,ภาพด้านล่างนี้คือภาพ พริก ใช่หรือไม่,พริก,เงา,ใช่,ไม่ใช่
42,filler,baan.png,ภาพด้านล่างนี้คือภาพ ร่ม ใช่หรือไม่,ร่ม,บ้าน,ใช่,ไม่ใช่
43,filler,kwaang.png,ภาพด้านล่างนี้คือภาพ ช้อน ใช่หรือไม่,ช้อน,กวาง,ใช่,ไม่ใช่
44,filler,cake.png,ภาพด้านล่างนี้คือภาพ ผีเสื้อ ใช่หรือไม่,ผีเสื้อ,เค้ก,ใช่,ไม่ใช่
45,filler,chorn.png,ภาพด้านล่างนี้คือภาพ ม้า ใช่หรือไม่,ม้า,ช้อน,ใช่,ไม่ใช่
